United States;Year;Germany;France;United Kingdom;Italy;Canada;Spain;	Netherlands	Switzerland	Sweden	Norway	Belgium	Austria	Portugal
142.47;1961;93.15;82.19;142.47;65.75;123.29;54.8;	126.03	142.47	126.03	123.29	73.97	109.59	49.32
142.47;1962;93.15;87.67;123.29;68.49;128.77;63.01;	131.51	147.95	120.55	126.03	73.97	115.07	49.32
139.73;1963;93.15;90.41;136.99;71.23;126.03;54.8;	134.25	120.55	115.07	123.29	95.89	109.59	46.58
145.21;1964;98.63;95.89;131.51;73.97;123.29;60.27;	128.77	136.99	117.81	123.29	87.67	106.85	46.58
145.21;1965;93.15;90.41;142.47;73.97;126.03;63.01;	136.99	136.99	126.03	131.51	79.45	112.33	49.32
145.21;1966;98.63;93.15;139.73;73.97;134.25;65.75;	136.99	136.99	126.03	128.77	98.63	109.59	57.53
147.95;1967;95.89;106.85;142.47;76.71;128.77;76.71;	131.51	131.51	126.03	131.51	101.37	106.85	57.53
150.69;1968;101.37;90.41;134.25;76.71;128.77;71.23;	131.51	145.21	120.55	134.25	93.15	115.07	65.75
153.43;1969;101.37;104.11;134.25;82.19;134.25;73.97;	131.51	139.73	120.55	117.81	101.37	98.63	71.23
153.43;1970;106.85;106.85;136.99;82.19;131.51;79.45;	134.25	145.21	123.29	120.55	101.37	112.33	73.97
156.16;1971;106.85;115.07;134.25;82.19;131.51;79.45;	134.25	139.73	128.77	120.55	95.89	112.33	73.97
158.9;1972;109.59;106.85;123.29;87.67;131.51;79.45;	134.25	153.43	128.77	120.55	79.45	109.59	73.97
158.9;1973;115.07;120.55;139.73;95.89;128.77;79.45;	134.25	136.99	128.77	112.33	101.37	123.29	76.71
156.16;1974;115.07;115.07;115.07;95.89;123.29;87.67;	131.51	145.21	123.29	93.15	101.37	126.03	73.97
150.69;1975;109.59;106.85;126.03;79.45;120.55;79.45;	126.03	101.37	126.03	76.71	98.63	104.11	76.71
158.9;1976;117.81;106.85;126.03;87.67;128.77;90.41;	126.03	117.81	126.03	109.59	106.85	112.33	68.49
161.64;1977;109.59;104.11;131.51;84.93;126.03;90.41;	128.77	142.47	117.81	112.33	98.63	112.33	71.23
158.9;1978;115.07;106.85;115.07;87.67;123.29;90.41;	117.81	120.55	115.07	117.81	95.89	112.33	71.23
158.9;1979;117.81;95.89;117.81;90.41;120.55;93.15;	117.81	123.29	120.55	120.55	93.15	112.33	71.23
156.16;1980;117.81;90.41;117.81;93.15;115.07;82.19;	123.29	126.03	120.55	115.07	101.37	123.29	73.97
153.43;1981;120.55;95.89;120.55;93.15;115.07;82.19;	109.59	131.51	120.55	112.33	101.37	117.81	73.97
153.43;1982;120.55;90.41;128.77;84.93;109.59;82.19;	117.81	120.55	120.55	106.85	106.85	120.55	73.97
153.43;1983;120.55;95.89;120.55;82.19;112.33;76.71;	117.81	136.99	126.03	104.11	106.85	112.33	68.49
156.16;1984;115.07;95.89;117.81;82.19;120.55;68.49;	98.63	128.77	126.03	112.33	101.37	112.33	65.75
158.9;1985;120.55;93.15;109.59;76.71;120.55;76.71;	112.33	126.03	123.29	115.07	106.85	106.85	68.49
158.9;1986;123.29;93.15;112.33;76.71;123.29;71.23;	112.33	131.51	117.81	112.33	109.59	109.59	73.97
164.38;1987;117.81;101.37;112.33;76.71;126.03;73.97;	115.07	128.77	115.07	112.33	109.59	109.59	73.97
167.12;1988;120.55;98.63;112.33;76.71;115.07;73.97;	134.25	139.73	117.81	101.37	115.07	117.81	76.71
167.12;1989;115.07;95.89;115.07;79.45;109.59;71.23;	142.47	131.51	117.81	109.59	115.07	115.07	82.19
169.86;1990;95.89;98.63;115.07;82.19;115.07;73.97;	153.43	134.25	117.81	112.33	120.55	117.81	82.19
172.6;1991;120.55;98.63;112.33;84.93;112.33;73.97;	161.64	117.81	117.81	112.33	120.55	117.81	82.19
175.34;1992;126.03;101.37;109.59;82.19;117.81;76.71;	153.43	128.77	120.55	117.81	123.29	117.81	84.93
178.08;1993;117.81;98.63;98.63;82.19;123.29;76.71;	147.95	134.25	123.29	117.81	120.55	115.07	87.67
180.82;1994;112.33;98.63;106.85;79.45;126.03;76.71;	134.25	120.55	134.25	120.55	123.29	131.51	87.67
183.56;1995;120.55;101.37;104.11;82.19;128.77;82.19;	131.51	128.77	115.07	120.55	123.29	128.77	87.67
186.3;1996;109.59;104.11;106.85;82.19;134.25;87.67;	126.03	150.69	120.55	117.81	131.51	128.77	87.67
194.52;1997;115.07;106.85;106.85;84.93;139.73;84.93;	126.03	147.95	117.81	126.03	131.51	126.03	87.67
194.52;1998;112.33;109.59;101.37;87.67;142.47;79.45;	126.03	134.25	126.03	123.29	139.73	123.29	87.67
189.04;1999;112.33;109.59;109.59;79.45;139.73;87.67;	123.29	136.99	126.03	126.03	139.73	123.29	93.15
194.52;2000;115.07;106.85;101.37;82.19;145.21;87.67;	123.29	153.43	128.77	126.03	161.64	126.03	93.15
194.52;2001;126.03;109.59;112.33;84.93;153.43;93.15;	126.03	156.16	120.55	120.55	156.16	123.29	93.15
194.52;2002;126.03;112.33;112.33;84.93;167.12;93.15;	134.25	161.64	115.07	120.55	147.95	120.55	90.41
191.78;2003;123.29;109.59;112.33;84.93;172.6;93.15;	142.47	164.38	128.77	120.55	150.69	123.29	93.15
191.78;2004;123.29;109.59;112.33;84.93;172.6;93.15;	142.47	164.38	128.77	120.55	150.69	123.29	93.15
